1,01,7,RAN,RANI PURA,,4.1,7,,,0
1,01,7,SAN,SANJAY SETU,,4.5,8,,,5
1,01,7,JAW,JAWAHAR MARG,,4.9,9,,,5
1,01,7,GAR,GURUDWARA,,5.1,10,,,5
1,01,7,HAR,HARSIDDHI,,5.5,11,,,5
1,01,7,COL,Collector Office,,6.3,12,,,10
1,01,7,GDC,GDC,,6.6,13,,,10
1,01,7,LAL,LAAL BAGH,,7.2,14,,,10
1,01,7,MHO,MHOW NAKA,,7.5,15,,,10
1,01,7,GAN,GANGWAL,,8.4,16,,,10
1,01,7,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,7,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,7,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,7,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,8,SAN,SANJAY SETU,,4.5,8,,,0
1,01,8,JAW,JAWAHAR MARG,,4.9,9,,,5
1,01,8,GAR,GURUDWARA,,5.1,10,,,5
1,01,8,HAR,HARSIDDHI,,5.5,11,,,5
1,01,8,COL,Collector Office,,6.3,12,,,10
1,01,8,GDC,GDC,,6.6,13,,,10
1,01,8,LAL,LAAL BAGH,,7.2,14,,,10
1,01,8,MHO,MHOW NAKA,,7.5,15,,,10
1,01,8,GAN,GANGWAL,,8.4,16,,,10
1,01,8,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,8,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,8,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,8,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,9,JAW,JAWAHAR MARG,,4.9,9,,,0
1,01,9,GAR,GURUDWARA,,5.1,10,,,5
1,01,9,HAR,HARSIDDHI,,5.5,11,,,5
1,01,9,COL,Collector Office,,6.3,12,,,5
1,01,9,GDC,GDC,,6.6,13,,,10
1,01,9,LAL,LAAL BAGH,,7.2,14,,,10
1,01,9,MHO,MHOW NAKA,,7.5,15,,,10
1,01,9,GAN,GANGWAL,,8.4,16,,,10
1,01,9,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,9,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,9,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,9,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,10,GAR,GURUDWARA,,5.1,10,,,0
1,01,10,HAR,HARSIDDHI,,5.5,11,,,5
1,01,10,COL,Collector Office,,6.3,12,,,5
1,01,10,GDC,GDC,,6.6,13,,,5
1,01,10,LAL,LAAL BAGH,,7.2,14,,,10
1,01,10,MHO,MHOW NAKA,,7.5,15,,,10
1,01,10,GAN,GANGWAL,,8.4,16,,,10
1,01,10,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,10,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,10,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,10,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,11,HAR,HARSIDDHI,,5.5,11,,,0
1,01,11,COL,Collector Office,,6.3,12,,,5
1,01,11,GDC,GDC,,6.6,13,,,5
1,01,11,LAL,LAAL BAGH,,7.2,14,,,10
1,01,11,MHO,MHOW NAKA,,7.5,15,,,10
1,01,11,GAN,GANGWAL,,8.4,16,,,10
1,01,11,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,11,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,11,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,11,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,12,COL,Collector Office,,6.3,12,,,0
1,01,12,GDC,GDC,,6.6,13,,,5
1,01,12,LAL,LAAL BAGH,,7.2,14,,,5
1,01,12,MHO,MHOW NAKA,,7.5,15,,,5
1,01,12,GAN,GANGWAL,,8.4,16,,,10
1,01,12,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,12,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,12,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,12,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,13,GDC,GDC,,6.6,13,,,0
1,01,13,LAL,LAAL BAGH,,7.2,14,,,5
1,01,13,MHO,MHOW NAKA,,7.5,15,,,5
1,01,13,GAN,GANGWAL,,8.4,16,,,10
1,01,13,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,13,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,13,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,13,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,14,LAL,LAAL BAGH,,7.2,14,,,0
1,01,14,MHO,MHOW NAKA,,7.5,15,,,5
1,01,14,GAN,GANGWAL,,8.4,16,,,5
1,01,14,LAB,LABRIYA BHERU,,8.5,17,,,5
1,01,14,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,14,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,14,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,15,MHO,MHOW NAKA,,7.5,15,,,0
1,01,15,GAN,GANGWAL,,8.4,16,,,5
1,01,15,LAB,LABRIYA BHERU,,8.5,17,,,5
1,01,15,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,15,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,15,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,16,GAN,GANGWAL,,8.4,16,,,0
1,01,16,LAB,LABRIYA BHERU,,8.5,17,,,5
1,01,16,RAM,RAM KRISHN BAGH,,9.1,18,,,5
1,01,16,KIM,KIMTI GARDEN,,9.7,19,,,5
1,01,16,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,17,LAB,LABRIYA BHERU,,8.5,17,,,0
1,01,17,RAM,RAM KRISHN BAGH,,9.1,18,,,5
1,01,17,KIM,KIMTI GARDEN,,9.7,19,,,5
1,01,17,CHA,CHANDAN NAGAR,,10.2,20,,,10
1,01,18,RAM,RAM KRISHN BAGH,,9.1,18,,,0
1,01,18,KIM,KIMTI GARDEN,,9.7,19,,,5
1,01,18,CHA,CHANDAN NAGAR,,10.2,20,,,5
1,01,19,KIM,KIMTI GARDEN,,9.7,19,,,0
1,01,19,CHA,CHANDAN NAGAR,,10.2,20,,,5
311,01,1,NAR,NARIEL KHED,,0,1,,,0
311,01,1,MIL,MILITARY GA,,0,2,,,5
311,01,1,PGB,PGBT COLLEG,,0,3,,,5
311,01,1,GIT,GITANJALI C,,0,4,,,5
311,01,1,DIG,DIG CHOURAH,,0,5,,,5
311,01,1,KAJ,KAJI CAMP,,0,6,,,7
311,01,1,SIN,SINDHI COLO,,0,7,,,7
311,01,1,BHO,BHOPAL TALK,,0,8,,,7
311,01,1,NAD,NADARA BUS ,,0,9,,,7
311,01,1,BHO,BHOPAL STAT,,0,10,,,9
311,01,1,BHA,BHARAT TALK,,0,11,,,9
311,01,1,BHO,BHOPAL STAT,,0,12,,,9
311,01,1,KAM,KAMPU KA BA,,0,13,,,9
311,01,1,PUS,PUSHPA NAGA,,0,14,,,12
311,01,1,GRE,GREEN PARK,,0,15,,,12
311,01,1,ASH,ASHOKA GARD,,0,16,,,12
311,01,1,ASH,ASHOKA GARD,,0,17,,,12
311,01,1,SWA,SWAMI VIVEK,,0,18,,,14
311,01,1,PRA,PRABHAT PET,,0,19,,,14
311,01,1,APS,APSARA TALK,,0,20,,,14
311,01,1,BIJ,BIJLI COLON,,0,21,,,14
311,01,1,GOV,GOVINDPURA,,0,22,,,16
311,01,1,ITI,ITI,,0,23,,,16
311,01,1,CPR,CPRI COLONY,,0,24,,,16
311,01,1,JK ,JK ROAD,,0,25,,,16
311,01,1,BHE,BHEL GATE,,0,26,,,16
311,01,1,JUB,JUBILY GATE,,0,27,,,16
